STATION,COM_CAPAC,X,Y
AIRCRAFT,201,144.760809,-37.866602
ALBION,673,144.824709,-37.777655
ALPHINGTON,119,145.031251,-37.778396
ASHBURTON,252,145.081341,-37.861968
ASPENDALE,78,145.102151,-38.027222
BAXTER,15,145.160525,-38.194047
BAYSWATER,353,145.268137,-37.841728
BEACONSFIELD,341,145.366069,-38.050828
BELGRAVE,170,145.355291,-37.909099
BELL,75,145.000152,-37.745566
BENTLEIGH,109,145.036991,-37.917427
BERWICK,937,145.345721,-38.04041
BITTERN,50,145.178026,-38.33739
BLACKBURN,112,145.150014,-37.820069
BONBEACH,35,145.119682,-38.062945
BORONIA,394,145.284381,-37.860453
BOX HILL,0,145.121427,-37.819219
BRIGHTON BEACH,170,144.989157,-37.926482
BROADMEADOWS,210,144.919615,-37.683051
BRUNSWICK,7,144.959591,-37.767718
BURNLEY,4,145.007553,-37.827558
BURWOOD,184,145.080508,-37.851561
CAMBERWELL,75,145.058692,-37.826564
CANTERBURY,125,145.081226,-37.824489
CARDINIA ROAD,328,145.437794,-38.071288
CARNEGIE,166,145.058576,-37.886237
CARRUM,220,145.122414,-38.074896
CAULFIELD,114,145.042522,-37.877457
CHATHAM,8,145.088653,-37.824304
CHELSEA,198,145.116036,-38.051959
CHELTENHAM,356,145.054557,-37.966653
CLAYTON,298,145.120531,-37.924683
CLIFTON HILL,90,144.995417,-37.788654
COBURG,350,144.963342,-37.742341
COOLAROO,486,144.926053,-37.661001
CRAIGIEBURN,433,144.943309,-37.601925
CRANBOURNE,683,145.280595,-38.09954
CRIB POINT,20,145.204047,-38.36612
CROYDON,290,145.280594,-37.795441
DANDENONG,438,145.209728,-37.989968
DAREBIN,26,145.038476,-37.774962
DARLING,309,145.062946,-37.868956
DENNIS,36,145.00824,-37.779183
DIAMOND CREEK,106,145.158509,-37.673293
DIGGERS REST,548,144.719918,-37.627013
EAGLEMONT,42,145.053946,-37.763586
EAST CAMBERWELL,60,145.068189,-37.825892
EAST MALVERN,676,145.069397,-37.87693
EDITHVALE,34,145.108539,-38.038054
ELSTERNWICK,156,145.000902,-37.884752
ELTHAM,397,145.147827,-37.713552
EPPING,263,145.030118,-37.652388
ESSENDON,499,144.916198,-37.756008
FAIRFIELD,106,145.016903,-37.779174
FAWKNER,76,144.960549,-37.714622
FERNTREE GULLY,278,145.295254,-37.881697
FOOTSCRAY,161,144.903194,-37.801085
FRANKSTON,413,145.126166,-38.142987
GARDINER,220,145.05166,-37.853283
GINIFER,157,144.809571,-37.757509
GLEN IRIS,70,145.058223,-37.859306
GLEN WAVERLEY,353,145.162063,-37.879502
GLENBERVIE,63,144.920944,-37.747214
GLENHUNTLY,175,145.042218,-37.889717
GLENROY,618,144.917219,-37.704534
GOWRIE,118,144.958877,-37.700676
GREENSBOROUGH,212,145.108249,-37.70395
HALLAM,590,145.269773,-38.017743
HAMPTON,167,145.001466,-37.937973
HASTINGS,20,145.185979,-38.30566
HAWTHORN,11,145.022897,-37.821824
HEATHERDALE,515,145.212785,-37.818896
HEATHMONT,112,145.244553,-37.828318
HEIDELBERG,300,145.06069,-37.757075
HIGHETT,116,145.041872,-37.948426
HOLMESGLEN,195,145.090657,-37.874401
HOPPERS CROSSING,566,144.70096,-37.883279
HUGHESDALE,70,145.077639,-37.894877
HUNTINGDALE,438,145.102364,-37.911017
HURSTBRIDGE,75,145.192012,-37.639402
IVANHOE,297,145.045426,-37.768898
JEWELL,36,144.958715,-37.774984
JORDANVILLE,155,145.112089,-37.873599
KANANOOK,136,145.135291,-38.12174
KEILOR PLAINS,450,144.793733,-37.729276
KEON PARK,154,145.011883,-37.694867
KOOYONG,70,145.03355,-37.839926
LABURNUM,40,145.140705,-37.820777
LALOR,417,145.017195,-37.665853
LAVERTON,947,144.772615,-37.863693
LILYDALE,531,145.347712,-37.755516
LYNBROOK,229,145.24928,-38.057345
MACLEOD,102,145.069147,-37.72601
MCKINNON,103,145.038302,-37.910306
MENTONE,272,145.065171,-37.981865
MERINDA PARK,204,145.263507,-38.079003
MERLYNSTON,218,144.961312,-37.720937
MERRI,6,144.992976,-37.777843
MIDDLE BRIGHTON,120,144.996298,-37.915135
MITCHAM,801,145.191973,-37.818013
MONT ALBERT,26,145.105533,-37.819427
MONTMORENCY,93,145.121511,-37.715297
MOONEE PONDS,107,144.919158,-37.765704
MOORABBIN,30,145.036739,-37.934349
MOOROOLBARK,475,145.312404,-37.784749
MORDIALLOC,210,145.087656,-38.006587
MORELAND,196,144.961823,-37.754481
MORRADOO,10,145.189606,-38.354035
MOUNT WAVERLEY,214,145.128057,-37.875251
MURRUMBEENA,292,145.067378,-37.890196
NARRE WARREN,717,145.303967,-38.027809
NEWPORT,310,144.883604,-37.842714
NOBLE PARK,331,145.176936,-37.967236
NORTH BRIGHTON,105,145.002604,-37.904883
NORTH MELBOURNE,74,144.941509,-37.806309
NORTH WILLIAMSTOWN,39,144.889067,-37.85733
NORTHCOTE,5,144.995282,-37.769865
NUNAWADING,204,145.17489,-37.820599
OAK PARK,36,144.921515,-37.717949
OAKLEIGH,339,145.088313,-37.900368
OFFICER,100,145.410992,-38.066142
ORMOND,153,145.039608,-37.903211
PAKENHAM,364,145.486374,-38.080612
PASCOE VALE,122,144.928194,-37.730754
PATTERSON,48,145.035468,-37.925146
PRESTON,261,145.000527,-37.738674
REGENT,159,145.002771,-37.7284
RESERVOIR,495,145.006993,-37.716889
RINGWOOD,256,145.22897,-37.81589
RINGWOOD EAST,460,145.250193,-37.811968
RIVERSDALE,139,145.069648,-37.831502
ROSANNA,241,145.06614,-37.742875
ROXBURGH PARK,347,144.935407,-37.638233
RUTHVEN,125,145.009514,-37.707899
SANDOWN PARK,560,145.162823,-37.956501
SANDRINGHAM,122,145.004566,-37.950328
SEAFORD,477,145.128228,-38.104017
SEAHOLME,7,144.840957,-37.867843
SOMERVILLE,70,145.176246,-38.225341
SOUTH MORANG,444,145.067038,-37.649161
SPOTSWOOD,25,144.885935,-37.830635
SPRINGVALE,217,145.153451,-37.949512
ST ALBANS,540,144.800055,-37.744859
STH KENSINGTON,6,144.925469,-37.799533
STONY POINT,8,145.221842,-38.374238
STRATHMORE,99,144.92732,-37.743593
SUNBURY,565,144.72732,-37.579092
SUNSHINE,494,144.83288,-37.788535
